,channelTitle,tags,title
0,April,"[u'games', u'twitch']",SMS 120 race w/ roofon
1,April,"[u'games', u'twitch']",SMS 120 race w/ roofon
2,April,"[u'games', u'twitch']",MINE A CHUNK TOURNAMENT ROUND 1 feat Matthew Bolan
3,April,"[u'games', u'twitch']",MINE A CHUNK TOURNAMENT ROUND 2
4,April,"[u'games', u'twitch']",LTT Stream 2
5,April,"[u'games', u'twitch']",SM127 Demo 0.7 Stream 1
6,April,"[u'games', u'twitch']",Badsap's nonsense
7,April,"[u'games', u'twitch']",SM127 Demo 0.7 Stream 2
8,April,"[u'games', u'twitch']",Hatsune Miku Picross
9,April,"[u'games', u'twitch']",LTT Stream 1
10,April,"[u'games', u'twitch']",LTT Stream 1
11,April,"[u'games', u'twitch']",LTT Stream 3
12,April,"[u'games', u'twitch']",SMx4 Four by Cavin Day 1
13,April,"[u'games', u'twitch']",SMX4 by Cavin Stream 2
14,April,[],ZTD speedrun tutorial (kind of scuffed)
15,TheeSizzler,[],Fastest Minecraft Blind Travel EVER
16,TheeSizzler,[],Speedrunning Minecraft Without Taking Damage!
17,TheeSizzler,[],I Beat the Minecraft World Record. Again.
18,TheeSizzler,[],I Beat Minecraft in 9 Minutes (FSG World Record)
19,TheeSizzler,[],Why we Speedrun Minecraft
20,TheeSizzler,[],The CLEANEST Sub 15 Minecraft Speedrun Ever
21,TheeSizzler,[],Minecraft Speedrunning in Under 16 Minutes
22,TheeSizzler,[],"Minecraft Speedrunning, but I regain Top 10 (16:05)"
23,TheeSizzler,[],Speedrunning Minecraft with an Elytra in less than 10 Minutes
24,TheeSizzler,[],I finally got a Personal Best in 1.16. It Sucks.
25,TheeSizzler,[],Minecraft Icarus World Record 12:19
26,TheeSizzler,[],SSG 1.16 PB 2:51
27,TheeSizzler,[],Minecraft Speedrun 1.14 PB 23:11
28,TheeSizzler,[],Minecraft Speedrun 1.14 PB 23:17
29,TheeSizzler,[],Minecraft but its not the World Record because Dragon
30,Crafterdark,"[u'minecraft', u'any%', u'plis', u'plus', u'speedrun', u'yes', u'april', u'fools']",Minecraft Plus Any% Speedrun in 1:48
31,Crafterdark,[],"Minecraft 1.8.x Integrated Server Lag Comparison (15w36d ,15w37a ,1.9)"
